EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
904955,CHEYENNE CO.,WILD HORSE,06/02/2020,1231,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148830,C,17,GLD,0,0,NWS Employee, ,0.07,30,11,NNE,11,NNE,WILD HORSE,06/02/2020,1234,38.9732,-102.9573,38.9732,-102.9587,"Third brief landspout tornado observed by NWS employee and Viaero webcam. This one began as the second landspout tornado of the day was ending.","During the afternoon several weak landspout tornadoes were reported from slow moving storms in northern Cheyenne County.  No damage was reported from these landspouts.||After the landspouts had ended, a weak front moving east across East Central Colorado caused a brief dust storm to occur south of Burlington near a feedlot.||During the late afternoon another round of thunderstorms developed west into Colorado from Kansas.  A gust of 59 MPH was reported from one of these storms in Hale.",12
904956,CHEYENNE CO.,FIRSTVIEW,06/02/2020,1252,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148830,C,17,GLD,0,0,Public, ,0.48,30,17,NNW,17,N,FIRSTVIEW,06/02/2020,1255,39.0537,-102.5977,39.0572,-102.5899,"Another landspout tornado indicated on Viaero webcam in northern Cheyenne County.","During the afternoon several weak landspout tornadoes were reported from slow moving storms in northern Cheyenne County.  No damage was reported from these landspouts.||After the landspouts had ended, a weak front moving east across East Central Colorado caused a brief dust storm to occur south of Burlington near a feedlot.||During the late afternoon another round of thunderstorms developed west into Colorado from Kansas.  A gust of 59 MPH was reported from one of these storms in Hale.",13
904957,KIT CARSON CO.,BURLINGTON,06/02/2020,1314,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148830,C,63,GLD,0,0,Public, ,1.11,30,11,SSE,12,SSE,BURLINGTON,06/02/2020,1317,39.149,-102.1831,39.1512,-102.1626,"Brief landspout reported looking south from the Advantage Ag office just east of Burlington.","During the afternoon several weak landspout tornadoes were reported from slow moving storms in northern Cheyenne County.  No damage was reported from these landspouts.||After the landspouts had ended, a weak front moving east across East Central Colorado caused a brief dust storm to occur south of Burlington near a feedlot.||During the late afternoon another round of thunderstorms developed west into Colorado from Kansas.  A gust of 59 MPH was reported from one of these storms in Hale.",14
898005,WASHINGTON CO.,ELBA,07/02/2020,1146,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148995,C,121,BOU,0,0,Public, ,0.01,50,4,W,4,W,ELBA,07/02/2020,1147,39.91,-103.25,39.91,-103.25,"A weak tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced very large hail, up to 3 inches in diameter.  In addition, several weak short lived tornadoes were also observed in open country.",15
898006,WASHINGTON CO.,LINDON,07/02/2020,1229,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148995,C,121,BOU,0,0,Public, ,0.01,50,5,SE,5,SE,LINDON,07/02/2020,1230,39.68,-103.34,39.68,-103.34,"A weak tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced very large hail, up to 3 inches in diameter.  In addition, several weak short lived tornadoes were also observed in open country.",16
897994,WASHINGTON CO.,ANTON,07/02/2020,1246,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148995,C,121,BOU,0,0,Public, ,0.01,50,6,ENE,6,ENE,ANTON,07/02/2020,1247,39.79,-103.11,39.79,-103.11,"A weak tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced very large hail, up to 3 inches in diameter.  In addition, several weak short lived tornadoes were also observed in open country.",17
897995,WASHINGTON CO.,ARICKAREE,07/02/2020,1319,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148995,C,121,BOU,0,0,Public, ,0.01,50,5,SE,5,SE,ARICKAREE,07/02/2020,1320,39.62,-103.01,39.62,-103.01,"A weak tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced very large hail, up to 3 inches in diameter.  In addition, several weak short lived tornadoes were also observed in open country.",18
897997,WASHINGTON CO.,MIDWAY,07/02/2020,1324,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148995,C,121,BOU,0,0,Public, ,0.01,50,1,SW,1,SW,MIDWAY,07/02/2020,1325,40.22,-103.41,40.22,-103.41,"A weak tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced very large hail, up to 3 inches in diameter.  In addition, several weak short lived tornadoes were also observed in open country.",19
911307,KIT CARSON CO.,VONA,07/02/2020,1340,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,149643,C,63,GLD,0,0,Storm Chaser, ,0.49,30,17,N,18,N,VONA,07/02/2020,1341,39.5486,-102.7615,39.5548,-102.7571,"Landspout tornado reported by chaser via spotter network. Exact location estimated via radar.","Supercell thunderstorms formed over the Colorado High Plains increasing in coverage and intensity as they moved east across eastern Colorado. In Colorado, the storms produced up to golf ball sized hail and two landspout tornadoes across Yuma and Kit Carson Counties.  Heavy rainfall caused flash flooding to occur over CR 54 less than a mile north of CR N.",20
911312,KIT CARSON CO.,VONA,07/02/2020,1530,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,149643,C,63,GLD,0,0,Public, ,0.62,30,4,ESE,4,ESE,VONA,07/02/2020,1532,39.2671,-102.684,39.2739,-102.6914,"Small roping (landspout) tornado reported. Estimated near MM412 of I-70. Evaluation of radar imagery indicates that most likely boundary interaction was southeast of MM412 of I-70.","Supercell thunderstorms formed over the Colorado High Plains increasing in coverage and intensity as they moved east across eastern Colorado. In Colorado, the storms produced up to golf ball sized hail and two landspout tornadoes across Yuma and Kit Carson Counties.  Heavy rainfall caused flash flooding to occur over CR 54 less than a mile north of CR N.",21
899875,SEDGWICK CO.,JULESBURG,07/08/2020,1649,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148997,C,115,BOU,0,0,Trained Spotter, ,0.01,50,12,ESE,12,ESE,JULESBURG,07/08/2020,1650,40.89,-102.07,40.89,-102.07,"A tornado touched down briefly in an open field.  No damage was reported.","Severe thunderstorms produced several brief landspout tornadoes in Sedgwick County.  One unoccupied building sustained some damage while the rest touched down in open fields.  In addition, thunderstorm wind gusts up to 70 mph were measured.",22
899876,SEDGWICK CO.,JULESBURG,07/08/2020,1659,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148997,C,115,BOU,0,0,Trained Spotter, ,0.01,50,13,SSE,13,SSE,JULESBURG,07/08/2020,1700,40.8218,-102.1507,40.8218,-102.1507,"A tornado touched down briefly near the intersection of CO 12 and CO 53.  No damage was reported.","Severe thunderstorms produced several brief landspout tornadoes in Sedgwick County.  One unoccupied building sustained some damage while the rest touched down in open fields.  In addition, thunderstorm wind gusts up to 70 mph were measured.",23
899877,PHILLIPS CO.,AMHERST,07/08/2020,1704,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148997,C,95,BOU,0,0,Emergency Manager, ,0.01,50,12,N,12,N,AMHERST,07/08/2020,1705,40.8513,-102.132,40.8513,-102.132,"A tornado touched down briefly near the intersection of CO 16 and CO 55.  No damage was observed.","Severe thunderstorms produced several brief landspout tornadoes in Sedgwick County.  One unoccupied building sustained some damage while the rest touched down in open fields.  In addition, thunderstorm wind gusts up to 70 mph were measured.",24
899878,SEDGWICK CO.,JULESBURG,07/08/2020,1704,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148997,C,115,BOU,0,0,Emergency Manager, ,0.01,50,8,SSE,8,SSE,JULESBURG,07/08/2020,1705,40.8655,-102.2277,40.8655,-102.2277,"A tornado touched down briefly near the intersection of CO 18 and U.S. Highway 385.  No damage was observed.","Severe thunderstorms produced several brief landspout tornadoes in Sedgwick County.  One unoccupied building sustained some damage while the rest touched down in open fields.  In addition, thunderstorm wind gusts up to 70 mph were measured.",25
899879,SEDGWICK CO.,JULESBURG,07/08/2020,1710,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148997,C,115,BOU,0,0,Trained Spotter, ,0.01,50,12,SSE,12,SSE,JULESBURG,07/08/2020,1711,40.83,-102.14,40.83,-102.14,"A weak tornado touched down briefly.  No damage was observed.","Severe thunderstorms produced several brief landspout tornadoes in Sedgwick County.  One unoccupied building sustained some damage while the rest touched down in open fields.  In addition, thunderstorm wind gusts up to 70 mph were measured.",26
899880,SEDGWICK CO.,JULESBURG,07/08/2020,1719,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,148997,C,115,BOU,0,0,Emergency Manager, ,0.01,50,11,SE,11,SE,JULESBURG,07/08/2020,1720,40.8515,-102.132,40.8515,-102.132,"A tornado touched down briefly and damaged an unoccupied building near the intersection of CO 16 AND CO 55.","Severe thunderstorms produced several brief landspout tornadoes in Sedgwick County.  One unoccupied building sustained some damage while the rest touched down in open fields.  In addition, thunderstorm wind gusts up to 70 mph were measured.",27
911317,CHEYENNE CO.,CHEYENNE WELLS,07/12/2020,1650,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,150913,C,17,GLD,0,0,Law Enforcement, ,1.52,75,5,WNW,4,WNW,CHEYENNE WELLS,07/12/2020,1700,38.8475,-102.437,38.8388,-102.411,"Received a couple different reports of landspouts around this time. However, based on radar imagery and pictures/videos received, it appears that one single longer-lasting landspout tornado occurred. Reports described the times accurately and indicated the tornado occurred for around 10 minutes in duration, remaining nearly stationary.","Thunderstorms initiated along a dry line in central Colorado moving east and forming a cluster of supercells that produced up to 70 mph wind gusts and large hail up to tennis ball in size across Yuma County. Supercells developed over Cheyenne County as the northern cluster crossed into Kansas and Nebraska. The southern cells eventually formed a cluster that was able to produce up to half dollar sized hail, a landspout, and caused a portion of Highway 385 to become impassable due to flash flooding.",28
959418,BENT CO.,LAS ANIMAS,07/14/2020,1800,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,158641,C,11,PUB,0,0,Trained Spotter, ,2.33,50,4,SW,1,SSW,LAS ANIMAS,07/14/2020,1815,38.03,-103.26,38.0522,-103.2278,"Multiple spotters and public reported a tornado moving through Bent County towards the City of Las Animas. No damage reported.","During the afternoon hours of July 14th, scattered thunderstorms, including a few supercells, developed across eastern El Paso County. As this activity shifted eastward they began to intensify and grow upscale into a larger thunderstorm complex. A series of supercells moved through Bent, Prowers, and Baca Counties producing a large non-damaging tornado, large hail, and damaging wind gusts.",29
902799,PHILLIPS CO.,PAOLI,07/19/2020,1729,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,149780,C,95,BOU,0,0,Public, ,0.01,50,5,NNE,5,NNE,PAOLI,07/19/2020,1730,40.69,-102.43,40.69,-102.43,"A weak tornado touched down briefly in an open field.  No damage was observed.","Severe thunderstorms produced intense winds across portions of Logan and Phillips counties.  Tree and crop damage was observed.  In addition, a power pole was knocked down.  The storms also produced quarter size hail and one brief tornado in an open field.",30
914662,LINCOLN CO.,PUNKIN CENTER,08/04/2020,1856,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,151824,C,73,BOU,0,0,Storm Chaser, ,0.01,50,15,SW,15,SW,PUNKIN CENTER,08/04/2020,1857,38.78,-103.93,38.78,-103.93,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced large hail, from quarter to tennis ball size over Adams, Lincoln and Weld counties.  The hail damaged trees and property, including multiple vehicles. One tornado touched down briefly in open country.",31
914695,WASHINGTON CO.,AKRON,08/15/2020,1633,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,151829,C,121,BOU,0,0,Trained Spotter, ,0.01,50,5,SW,5,SW,AKRON,08/15/2020,1638,40.11,-103.28,40.11,-103.28,"A weak landspout touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced large hail, ranging in size from quarters to tennis balls.  Three brief landspout tornadoes developed in open country.  No damage was observed.",32
914696,WASHINGTON CO.,MIDWAY,08/15/2020,1647,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,151829,C,121,BOU,0,0,Storm Chaser, ,0.01,50,9,S,9,S,MIDWAY,08/15/2020,1648,40.1,-103.4,40.1,-103.4,"A weak landspout touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced large hail, ranging in size from quarters to tennis balls.  Three brief landspout tornadoes developed in open country.  No damage was observed.",33
914697,WASHINGTON CO.,AKRON,08/15/2020,1652,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,151829,C,121,BOU,0,0,Trained Spotter, ,0.01,50,11,SW,11,SW,AKRON,08/15/2020,1655,40.05,-103.35,40.05,-103.35,"A weak landspout tornado down briefly in open country.  No damage was observed.","Severe thunderstorms produced large hail, ranging in size from quarters to tennis balls.  Three brief landspout tornadoes developed in open country.  No damage was observed.",34
919487,OTERO CO.,TIMPAS,08/16/2020,1745,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,152642,C,89,PUB,0,0,Storm Chaser, ,0.1,10,11,NW,11,NW,TIMPAS,08/16/2020,1747,37.94,-103.9,37.94,-103.9,"Storm chaser on CO-10 southwest of La Junta captured a brief tornado over open fields on Sunday evening. Video shows a quickly descending funnel reaching the ground and then quickly becoming enveloped by sheets of rain. The tornado lasted no longer than 2-minutes, per chasers video, or at least before the sheets of rain obscured the view.","Isolated thunderstorms developed over the higher terrain early in the afternoon, and then moved east into the plains in the late afternoon and evening producing pockets of severe weather with heavy rainfall.",35
952530,LINCOLN CO.,PUNKIN CENTER,04/27/2021,1332,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157578,C,73,BOU,0,0,Storm Chaser, ,0.01,50,8,WSW,8,WSW,PUNKIN CENTER,04/27/2021,1333,38.85,-103.83,38.85,-103.83,"A tornado touched down briefly in an open field.  No damage was observed.","Severe thunderstorms developed across portions of Adams, Elbert, and Lincoln counties.  Hail from quarter to ping pong ball size was observed.  Near Limon and Messex, the hail completely covered the roadways.  Two tornados also touched down briefly in Lincoln County but no damage was observed.  Very heavy rain developed across the northeast plains.  The heavy rain caused small stream flooding across southeast Logan and southwestern Phillips counties.  The heavy rain and flooding forced the closure of State Highway 59, south of Haxtun.  Storm totals ranged from 2 to 6 inches of rainfall.",36
952528,LINCOLN CO.,KARVAL,04/27/2021,1457,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157578,C,73,BOU,0,0,Trained Spotter, ,0.01,50,16,ESE,16,ESE,KARVAL,04/27/2021,1458,38.64,-103.25,38.64,-103.25,"A tornado briefly touched down in an open field.  No damage was observed.","Severe thunderstorms developed across portions of Adams, Elbert, and Lincoln counties.  Hail from quarter to ping pong ball size was observed.  Near Limon and Messex, the hail completely covered the roadways.  Two tornados also touched down briefly in Lincoln County but no damage was observed.  Very heavy rain developed across the northeast plains.  The heavy rain caused small stream flooding across southeast Logan and southwestern Phillips counties.  The heavy rain and flooding forced the closure of State Highway 59, south of Haxtun.  Storm totals ranged from 2 to 6 inches of rainfall.",37
956809,CHEYENNE CO.,AROYA,04/27/2021,1508,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Law Enforcement, ,2.04,100,16,S,15,SSW,WILD HORSE,04/27/2021,1518,38.6155,-103.1625,38.6194,-103.1251,"First of several tornadoes that occurred in quick succession. This was the larger initial one that was captured by storm chaser footage and reported by law enforcement.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",38
956810,CHEYENNE CO.,WILD HORSE,04/27/2021,1508,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Law Enforcement, ,0.78,50,15,SSW,14,SW,SORRENTO,04/27/2021,1511,38.6226,-103.1092,38.6241,-103.0948,"This second tornado occurred simultaneously with a larger tornado (first tornado entered). This one was visually smaller according to storm chaser footage.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",39
956811,CHEYENNE CO.,SORRENTO,04/27/2021,1515,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Storm Chaser, ,1.97,75,15,SW,13,SW,SORRENTO,04/27/2021,1517,38.6185,-103.1028,38.6428,-103.0837,"Chaser footage showed a smaller satellite tornado to the parent circulation. This tornado began, and was immediately followed by a much larger tornado. This is the third tornado produced by this storm in short succession.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",40
956812,CHEYENNE CO.,SORRENTO,04/27/2021,1516,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Storm Chaser, ,4.05,300,15,SW,11,SW,SORRENTO,04/27/2021,1525,38.6175,-103.1057,38.6523,-103.0452,"This is the fourth tornado that occurred in rapid succession. This tornado, visually from storm chaser stream, was the largest tornado of the day. It continued across open country of southwestern Cheyenne County Colorado. A satellite tornado began shortly before this one, which was the third tornado of the day.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",41
956808,CHEYENNE CO.,SORRENTO,04/27/2021,1528,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Storm Chaser, ,1.31,100,10,SW,8,SW,SORRENTO,04/27/2021,1532,38.6702,-103.0267,38.6833,-103.0093,"Tornadoes viewed on live chase stream. Based on photos/videos submitted, as well as radar imagery, believe this to be the fifth tornado produced by this storm.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",42
956804,CHEYENNE CO.,SORRENTO,04/27/2021,1554,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Storm Chaser, ,4.48,50,2,SE,3,NW,KIT CARSON,04/27/2021,1600,38.756,-102.8951,38.7986,-102.8326,"Storm chaser submitted video, on social media, of a tornado crossing US HWY 40 west of Kit Carson.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",43
956813,CHEYENNE CO.,FIRSTVIEW,04/27/2021,1627,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,157561,C,17,GLD,0,0,Public, ,1.93,75,10,NNW,12,NNW,FIRSTVIEW,04/27/2021,1634,38.954,-102.6085,38.9809,-102.618,"Landspout tornado, multiple reports received along with video of tornado near the intersection of county roads DD and 32 in northern Cheyenne County.","A frontal boundary slowly pushed north across eastern Colorado during the afternoon hours before shifting east into western Kansas and extreme southwest Nebraska during the evening hours. Storms formed along and north of the front and moved across eastern Colorado producing tornadoes, up to golf ball sized hail, and up to 60 mph wind gusts.",44
